Hunk(NET-265-1, Devin Paden, JOYC 305, [1B, 1A])
Hunk(CSI-230-1, Joshua Auerbach, MIC 306, [1B, 1A])
Hunk(SEC-335-1, Adam Goldstein, JOYC 101, [10A, 10B])
Hunk(CSI-319-1, David Kopec, JOYC 305, [9B, 9A])
Hunk(CSI-480-1, Joshua Auerbach, JOYC 101, [11A, 11B])
Hunk(SCI-115-1, Jennifer Supple, MIC 306, [2B, 2A])
Hunk(CSI-440-1, Murat Gungor, JOYC 101, [17A, 17B])
Hunk(MTH-270-1, Warren Sides, JOYC 305, [6A, 6B])
Hunk(NET-225-1, Adam Goldstein, JOYC 101, [18A, 18B])
Hunk(MTH-230-1, Melanie Brown, MIC 306, [11A, 11B])
Hunk(SCI-150-1, Hillary Emick, MIC 306, [7B, 7A])
Hunk(WEB-370-1, Sarah Pettitt, JOYC 305, [16B, 16A])
Hunk(SEC-250-1, Joseph Letourneau, JOYC 101, [6A, 6B])
Hunk(MTH-125-1, Kathleen Richardson, MIC 306, [9B, 9A])
Hunk(WEB-320-1, Frank Canovatchel, JOYC 101, [3B, 3A])
Hunk(CSI-385-1, Sajid Farooq, JOYC 101, [9B, 9A])
Hunk(NET-120-1, Brian Brumley, JOYC 305, [5A, 5B])
Hunk(SCI-170-1, Alexandra Collins, MIC 306, [16B, 16A])
Hunk(EGP-200-1, Sajid Farooq, JOYC 101, [13B, 13A])
Hunk(CSI-340-1, Murat Gungor, JOYC 101, [2B, 2A])
Hunk(WEB-125-1, Frank Canovatchel, JOYC 101, [8A, 8B])
Hunk(CSI-320-1, Lisa Soros, JOYC 305, [13B, 13A])
Hunk(EGP-410-1, Dean Lawson, MIC 306, [15B, 15A])
Hunk(CIT-140-1, Joseph Letourneau, JOYC 101, [12B, 12A])
Hunk(EGP-411-1, Dean Lawson, JOYC 305, [18A, 18B])
Hunk(NET-330-1, Adam Goldstein, JOYC 101, [16B, 16A])
Hunk(SEC-350-1, Devin Paden, JOYC 305, [11A, 11B])
Hunk(NET-230-1, Aaron Archambault, JOYC 101, [15B, 15A])
Hunk(NET-255-1, Aaron Archambault, MIC 306, [12B, 12A])
Hunk(SCI-310-1, Alexandra Collins, JOYC 101, [4A, 4B])
Hunk(FOR-100-1, Joseph Letourneau, JOYC 101, [14B, 14A])
Hunk(CIT-265-1, Frank Canovatchel, JOYC 101, [1B, 1A])
Hunk(SEC-345-1, Patrick Dunston, JOYC 305, [3B, 3A])
Hunk(FOR-310-1, Jonathan Rajewski, JOYC 305, [10A, 10B])
Hunk(EGP-405-1, Daniel Buckstein, JOYC 305, [2B, 2A])
Hunk(CSI-281-1, Jonathan Carter, MIC 306, [18A, 18B])
Hunk(CIT-200-1, Frank Canovatchel, JOYC 101, [5A, 5B])
Hunk(CSI-240-1, Daniel Buckstein, MIC 306, [5A, 5B])
Hunk(NET-215-1, James Hoag, MIC 306, [8A, 8B])
Hunk(SCI-140-1, Simonne Eisenhardt, CCM 434, [15B, 15A])
Hunk(MTH-115-1, Michael Weinberg, MIC 306, [4A, 4B])
Hunk(CSI-120-1, David Kopec, JOYC 305, [15B, 15A])
Hunk(SCI-210-1, Hillary Emick, JOYC 305, [4A, 4B])
Hunk(CIT-135-1, Sarah Pettitt, MIC 306, [3B, 3A])
Hunk(CSI-140-1, Lisa Soros, MIC 306, [14B, 14A])
Hunk(FOR-240-1, Patrick Dunston, MIC 306, [6A, 6B])
Hunk(MTH-310-1, Melanie Brown, JOYC 101, [7B, 7A])
Hunk(CSI-160-1, Brian Brumley, MIC 306, [17A, 17B])
Hunk(FOR-260-1, Yogeshkumar Khatri, JOYC 305, [14B, 14A])
Hunk(FOR-430-1, Yogeshkumar Khatri, JOYC 305, [12B, 12A])
Hunk(NET-300-1, Yogeshkumar Khatri, JOYC 305, [7B, 7A])
Hunk(MTH-180-1, Kyler Star, CCM 434, [9B, 9A])
Hunk(SCI-250-1, Thomas Schicker, MIC 306, [13B, 13A])
Hunk(NET-320-1, Patrick Dunston, JOYC 305, [8A, 8B])
Hunk(NET-130-1, David Ginter, MIC 306, [10A, 10B])
Hunk(EGP-480-1, Daniel Buckstein, JOYC 305, [17A, 17B])
