building,room,capacity,type,division,filter:subject,filter:course style
BARN,200,35,MAC Lab,CCM,,studio
CCM,001,30,PC Lab,CCM,EMM|GAA,
CCM,101,30,Production Stage,CCM,,
CCM,212,12,Conference Room,,,
CCM,221,55,Classroom,,,
CCM,222,24,PC Lab,CCM,,
CCM,224,24,PC Lab,CCM,,
CCM,232,34,Classroom,,,
CCM,233,40,Classroom,,,
CCM,305,200,Auditorium,,,
CCM,424,30,Classroom,,,
CCM,426,24,MAC Lab,CCM,,
CCM,434,25,Art Studio,CCM,,
CCM,442,28,Classroom,,,
CCM,444,28,Classroom,,,
FOST,100,24,PC Lab,ITS,FOR,
FOST,101,20,MAC Lab,CCM,,
FOST,104,19,PC Lab,CCM,,
FOST,202,20,PC Lab,ITS,NET|SEC,
FREE,201,26,Classroom,,,
GBTC,012,24,MAC Lab,CCM,,
GBTC,014,24,MAC Lab,CCM,,
GBTC,017,32,Classroom,,,
GBTC,105,,Classroom,,,
GBTC,112,30,Classroom,,,
GBTC,114,32,Classroom,,,
GBTC,117,28,Classroom,,,
GBTC,201,10,Conference Room,,,
GBTC,206,20,Classroom,,,
GBTC,217,33,Classroom,,,
JOYC,101,30,PC Lab,ITS,EGP,
JOYC,102,24,Classroom,,,
JOYC,103,24,Classroom,,,
JOYC,201,24,PC Lab,ITS,,
JOYC,203,24,Classroom,,,
JOYC,205,24,Classroom,,,
JOYC,210,24,MAC Lab,ITS,,
JOYC,211,24,PC Lab,ITS,,
JOYC,212,20,Classroom,,,
JOYC,301,28,Classroom,,,
JOYC,302,28,Classroom,,,
JOYC,304,28,Classroom,,,
JOYC,305,24,Classroom,,,
JOYC,310,24,Classroom,,,
JOYC,311,24,Classroom,,,
JOYC,313,36,Classroom,,,
MCLC,301,20,Classroom,ITS,EMM,
MIC,305,30,Classroom,,,
MIC,306,30,Classroom,,,
MIC,308,27,PC Lab,,,
SKFA,100,20,PC Lab,ITS,CIT|NET|SEC,
WICK,100,30,Classroom,,,
WICK,101,24,Classroom,,,
WICK,102,33,Classroom,,,
